Dates,BTC allocations,BTC returns,BTC positions,ETH allocations,ETH returns,ETH positions,LTC allocations,LTC returns,LTC positions
2020-01-01,1,0.0,0,1,0.0,0,1,0.0,0
2020-01-02,1,0.0,0,1,0.0,0,1,0.0,0
2020-01-03,1,-7.659669922943646e-05,1,1,0.0,0,1,0.008626887131560235,1
2020-01-04,1,0.0,0,1,0.0,0,1,0.0,0
2020-01-05,1,0.0,0,1,0.0,0,1,0.0,0
2020-01-06,1,0.0,0,1,0.0,0,1,0.0,0
2020-01-07,1,0.0,0,1,0.0,0,1,0.0,0
2020-01-08,1,0.0,0,1,0.0,0,1,0.0,0
2020-01-10,0,0.0,0,1,0.0,0,1,0.0,0
2020-01-11,0,0.0,0,1,0.0,0,1,0.0,0
2020-01-12,1,0.0,0,1,0.0,0,1,0.0,0
2020-01-13,1,0.0,0,1,0.0,0,1,0.0,0
2020-01-14,1,0.038260671181665096,1,1,0.0631201587606427,1,1,0.09571882594877534,1
2020-01-15,1,0.0,0,1,0.0,0,1,0.0,0
2020-01-16,1,0.0,0,1,0.0,0,1,0.0,0
2020-01-17,1,0.0,0,1,0.0,0,1,0.0,0
2020-01-18,1,0.0,0,1,0.0,0,1,0.0,0
2020-01-19,1,0.0,0,1,-0.013177870893301913,-1,1,0.0,0
2020-01-20,0,0.0,0,1,0.0,0,1,0.0,0
2020-01-21,0,0.0,0,1,0.0,0,1,0.0,0
2020-01-22,0,0.0,0,1,0.0,0,1,0.0,0
2020-01-24,0,0.0,0,1,0.0,0,1,0.0,0
2020-01-25,0,0.0,0,1,0.0,0,1,0.0,0
2020-01-26,1,0.0,0,1,0.0,0,1,0.0,0
2020-01-27,0,0.0,0,1,0.0,0,1,0.0,0
2020-01-28,0,0.0,0,1,0.0,0,1,0.0,0
2020-01-29,0,0.0,0,1,0.0,0,1,0.0,0
2020-01-30,0,0.0,0,1,0.0,0,1,0.0344827586206895,1
2020-01-31,0,0.0,0,1,0.0,0,1,0.0,0
2020-02-01,0,0.0,0,1,0.0,0,1,-0.019134775374376134,1
2020-02-02,0,0.0,0,1,-0.02343425964330148,1,1,0.0,0
2020-02-03,0,0.0,0,1,0.0,0,1,0.0,0
2020-02-04,0,0.0,0,1,0.0,0,1,0.0,0
2020-02-05,0,0.0,0,1,0.025959651858932453,1,1,0.0,0
2020-02-07,0,0.0,0,1,0.0,0,1,0.0,0
2020-02-08,0,0.0,0,1,0.0,0,1,0.0,0
2020-02-09,0,0.0,0,1,0.0,0,1,0.0,0
2020-02-10,0,0.0,0,1,0.0,0,1,0.0,0
2020-02-11,0,0.0,0,1,0.0,0,1,0.0,0
2020-02-12,0,0.0,0,1,0.05058809645568618,1,1,0.0,0
2020-02-13,0,0.0,0,1,0.0,0,1,0.0,0
2020-02-14,0,0.0,0,1,0.0,0,1,0.0,0
2020-02-15,0,0.0,0,1,0.0333880678708266,-1,1,0.031111673200961087,-1
2020-02-16,0,0.0,0,1,0.0,0,1,0.0,0
2020-02-17,0,0.0,0,1,0.0,0,1,-0.02630474324891563,-1
2020-02-18,0,0.0,0,1,0.0,0,1,0.0,0
2020-02-19,0,0.0,0,1,0.0,0,1,0.0,0
2020-02-21,0,0.0,0,1,0.0,0,1,0.0,0
2020-02-22,0,0.0,0,1,0.0,0,1,0.0,0
2020-02-23,0,0.0,0,1,0.0,0,1,0.0,0
2020-02-24,0,0.0,0,1,0.0,0,1,0.002760978175124995,-1
2020-02-25,0,0.0,0,1,0.01928889595927452,-1,1,0.011555060559654717,-1
2020-02-26,0,0.0,0,1,0.008717199876100756,-1,1,0.10254513169576795,-1
2020-02-27,1,0.0,0,1,0.0,0,1,0.0,0
